function kata1(),i,i <=25,i++,"result += i + "", """,,
,1,-,-,-,,
,1,true,"+1 ","1, ",,
,1+1= 2,true,+1,"1,2,",,
,2+1= 3,true,+1,"1,2,3,",,
,3+1 = 4,true,+1,"1,2,3,4,",,
,24+1 = 25,true,+1,"1,2,3,4...25,",,
,,,,,,
function kata2(),i,i <=25,i--,"result += i + "", """,,
,25,-,-,-,,
,25,true,- 1,"25,",,
,25-1= 24,true,-1,"25, 24,",,
,24-1= 23,true,-1,"25,24,23,",,
,23-1= 22,true,-1,"25,24,23,22,",,
,2-1= 1,true,- 1,"25,24,23,22...1,",,
,,,,,,
function kata3(),i,i >= -25,i--,"result += i + "", """,,
,-1,-,-,-,,
,-1,true,-1," -1,",,
,-1-1= -2,true,-1," -1, -2,",,
,-2-1= -3,true,-1," -1,-2,-3,",,
,-3-1= -4,true,-1," -1,-2,-3,-4,",,
,-24-1=-25,true,-1," -1,-2,-3,-4...-25,",,
,,,,,,
function kata4(),i,i <= -1,i++,"result += i + "", """,,
,-25,-,-,-,,
,-25,true,"+1 ","-25,",,
,-25+1=-24,true,+1,"-25,-24,",,
,-24+1=-23,true,+1,"-25,-24,-23",,
,-24+1=-22,true,+1,"-25,-24,-23,-22,",,
,-2+1=-1,true,+1,"-25,-24,-23,-22...-1,",,
,,,,,,
function kata5(),i,i <= -1,i++,i % 2 !== 0,"result += i + "", """,
,-25,-,-,-,-,
,-25,true,"+1 ",true,"-25,",
,-25+1=-24,true,+1,false,"-25,",
,-24+1=-23,true,+1,true,"-25,-23,",
,-24+1=-22,true,+1,false,"-25,-23,",
,24+1=25,true,+1,true,"-25,-23,...25,",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
